"Daily Mean data	    supplied by UK-air on 28/06/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Bristol Temple Way,,London Marylebone Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
01/02/2020,16,V ugm-3,71,N ugm-3
02/02/2020,20,V ugm-3,68,N ugm-3
03/02/2020,25,V ugm-3,65,N ugm-3
04/02/2020,31,V ugm-3,44,N ugm-3
05/02/2020,61,V ugm-3,80,N ugm-3
06/02/2020,63,V ugm-3,84,N ugm-3
07/02/2020,34,V ugm-3,72,N ugm-3
08/02/2020,15,V ugm-3,65,N ugm-3
09/02/2020,5,V ugm-3,35,N ugm-3
10/02/2020,16,V ugm-3,69,N ugm-3
11/02/2020,18,V ugm-3,66,N ugm-3
12/02/2020,28,V ugm-3,74,N ugm-3
13/02/2020,31,V ugm-3,68,N ugm-3
14/02/2020,37,V ugm-3,77,N ugm-3
15/02/2020,12,V ugm-3,40,N ugm-3
16/02/2020,9,V ugm-3,55,N ugm-3
17/02/2020,17,V ugm-3,70,N ugm-3
18/02/2020,18,V ugm-3,74,N ugm-3
19/02/2020,27,V ugm-3,76,N ugm-3
20/02/2020,20,V ugm-3,64,N ugm-3
21/02/2020,17,V ugm-3,74,N ugm-3
22/02/2020,12,V ugm-3,57,N ugm-3
23/02/2020,23,V ugm-3,40,N ugm-3
24/02/2020,17,V ugm-3,70,N ugm-3
25/02/2020,23,V ugm-3,86,N ugm-3
26/02/2020,26,V ugm-3,59,N ugm-3
27/02/2020,48,V ugm-3,54,N ugm-3
28/02/2020,28,V ugm-3,74,N ugm-3
29/02/2020,12,V ugm-3,61,N ugm-3
01/03/2020,22,V ugm-3,64,N ugm-3
02/03/2020,32,V ugm-3,61,N ugm-3
03/03/2020,31,V ugm-3,87,N ugm-3
04/03/2020,61,V ugm-3,90,N ugm-3
05/03/2020,55,V ugm-3,37,N ugm-3
06/03/2020,61,V ugm-3,62,N ugm-3
07/03/2020,22,V ugm-3,77,N ugm-3
08/03/2020,10,V ugm-3,59,N ugm-3
09/03/2020,18,V ugm-3,79,N ugm-3
10/03/2020,11,V ugm-3,63,N ugm-3
11/03/2020,18,V ugm-3,75,N ugm-3
12/03/2020,14,V ugm-3,76,N ugm-3
13/03/2020,20,V ugm-3,69,N ugm-3
14/03/2020,25,V ugm-3,61,N ugm-3
15/03/2020,19,V ugm-3,53,N ugm-3
16/03/2020,39,V ugm-3,68,N ugm-3
17/03/2020,20,V ugm-3,66,N ugm-3
18/03/2020,25,V ugm-3,60,N ugm-3
19/03/2020,46,V ugm-3,29,N ugm-3
20/03/2020,31,V ugm-3,21,N ugm-3
21/03/2020,21,V ugm-3,34,N ugm-3
22/03/2020,21,V ugm-3,31,N ugm-3
23/03/2020,37,V ugm-3,65,N ugm-3
24/03/2020,37,V ugm-3,49,N ugm-3
25/03/2020,50,V ugm-3,61,N ugm-3
26/03/2020,45,V ugm-3,32,N ugm-3
27/03/2020,33,V ugm-3,20,N ugm-3
28/03/2020,12,V ugm-3,9,N ugm-3
29/03/2020,7,V ugm-3,7,N ugm-3
30/03/2020,24,V ugm-3,15,N ugm-3
31/03/2020,26,V ugm-3,24,N ugm-3
01/04/2020,35,N ugm-3,33,N ugm-3
02/04/2020,14,N ugm-3,35,N ugm-3
03/04/2020,18,N ugm-3,42,N ugm-3
04/04/2020,24,N ugm-3,32,N ugm-3
05/04/2020,12,N ugm-3,23,N ugm-3
06/04/2020,10,N ugm-3,36,N ugm-3
07/04/2020,31,N ugm-3,42,N ugm-3
08/04/2020,51,N ugm-3,48,N ugm-3
09/04/2020,41,N ugm-3,44,N ugm-3
10/04/2020,27,N ugm-3,39,N ugm-3
11/04/2020,26,N ugm-3,37,N ugm-3
12/04/2020,22,N ugm-3,21,N ugm-3
13/04/2020,8,N ugm-3,4,N ugm-3
14/04/2020,30,N ugm-3,24,N ugm-3
15/04/2020,40,N ugm-3,46,N ugm-3
16/04/2020,43,N ugm-3,44,N ugm-3
17/04/2020,29,N ugm-3,21,N ugm-3
18/04/2020,22,N ugm-3,17,N ugm-3
19/04/2020,14,N ugm-3,11,N ugm-3
20/04/2020,20,N ugm-3,14,N ugm-3
21/04/2020,21,N ugm-3,15,N ugm-3
22/04/2020,25,N ugm-3,18,N ugm-3
23/04/2020,29,N ugm-3,30,N ugm-3
24/04/2020,36,N ugm-3,27,N ugm-3
25/04/2020,23,N ugm-3,21,N ugm-3
26/04/2020,17,N ugm-3,25,N ugm-3
27/04/2020,25,N ugm-3,31,N ugm-3
28/04/2020,26,N ugm-3,19,N ugm-3
29/04/2020,9,N ugm-3,27,N ugm-3
30/04/2020,6,N ugm-3,27,N ugm-3
01/05/2020,7,N ugm-3,27,N ugm-3
02/05/2020,11,N ugm-3,20,N ugm-3
03/05/2020,20,N ugm-3,24,N ugm-3
04/05/2020,27,N ugm-3,22,N ugm-3
05/05/2020,18,N ugm-3,21,N ugm-3
06/05/2020,30,N ugm-3,28,N ugm-3
07/05/2020,32,N ugm-3,43,N ugm-3
08/05/2020,35,N ugm-3,39,N ugm-3
09/05/2020,26,N ugm-3,37,N ugm-3
10/05/2020,13,N ugm-3,6,N ugm-3
11/05/2020,20,N ugm-3,5,N ugm-3
12/05/2020,26,N ugm-3,17,N ugm-3
13/05/2020,30,N ugm-3,9,N ugm-3
14/05/2020,31,N ugm-3,15,N ugm-3
15/05/2020,22,N ugm-3,23,N ugm-3
16/05/2020,10,N ugm-3,21,N ugm-3
17/05/2020,6,N ugm-3,23,N ugm-3
18/05/2020,7,N ugm-3,33,N ugm-3
19/05/2020,7,N ugm-3,29,N ugm-3
20/05/2020,21,N ugm-3,38,N ugm-3
21/05/2020,15,N ugm-3,37,N ugm-3
22/05/2020,5,N ugm-3,26,N ugm-3
23/05/2020,3,N ugm-3,15,N ugm-3
24/05/2020,4,N ugm-3,13,N ugm-3
25/05/2020,14,N ugm-3,23,N ugm-3
26/05/2020,20,N ugm-3,27,N ugm-3
27/05/2020,37,N ugm-3,32,N ugm-3
28/05/2020,25,N ugm-3,24,N ugm-3
29/05/2020,24,N ugm-3,29,N ugm-3
30/05/2020,22,N ugm-3,18,N ugm-3
31/05/2020,17,N ugm-3,12,N ugm-3
01/06/2020,38,N ugm-3,22,N ugm-3
,,,,
,,,,
,,,,
End,,,,
