Daily Mean data,    supplied by UK-air on 02/08/2020,,    supplied by UK-air on 02/08/2020,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Bristol Temple Way,,London Marylebone Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
01/07/2019,21,V ugm-3,32,V ugm-3
02/07/2019,47,V ugm-3,28,V ugm-3
03/07/2019,60,V ugm-3,53,V ugm-3
04/07/2019,45,V ugm-3,55,V ugm-3
05/07/2019,41,V ugm-3,69,V ugm-3
06/07/2019,36,V ugm-3,26,V ugm-3
07/07/2019,29,V ugm-3,40,V ugm-3
08/07/2019,34,V ugm-3,64,V ugm-3
09/07/2019,24,V ugm-3,72,V ugm-3
10/07/2019,21,V ugm-3,87,V ugm-3
11/07/2019,17,V ugm-3,68,V ugm-3
12/07/2019,24,V ugm-3,25,V ugm-3
13/07/2019,36,V ugm-3,21,V ugm-3
14/07/2019,32,V ugm-3,20,V ugm-3
15/07/2019,34,V ugm-3,32,V ugm-3
16/07/2019,39,V ugm-3,80,V ugm-3
17/07/2019,29,V ugm-3,NaN,V ugm-3
18/07/2019,16,V ugm-3,NaN,V ugm-3
19/07/2019,30,V ugm-3,73,V ugm-3
20/07/2019,14,V ugm-3,62,V ugm-3
21/07/2019,27,V ugm-3,57,V ugm-3
22/07/2019,18,V ugm-3,65,V ugm-3
23/07/2019,32,V ugm-3,92,V ugm-3
24/07/2019,26,V ugm-3,106,V ugm-3
25/07/2019,38,V ugm-3,114,V ugm-3
26/07/2019,22,V ugm-3,67,V ugm-3
27/07/2019,24,V ugm-3,35,V ugm-3
28/07/2019,13,V ugm-3,40,V ugm-3
29/07/2019,24,V ugm-3,63,V ugm-3
30/07/2019,24,V ugm-3,55,V ugm-3
31/07/2019,16,V ugm-3,63,V ugm-3
01/08/2019,44,V ugm-3,43,V ugm-3
02/08/2019,59,V ugm-3,35,V ugm-3
03/08/2019,24,V ugm-3,53,V ugm-3
04/08/2019,28,V ugm-3,63,V ugm-3
05/08/2019,19,V ugm-3,59,V ugm-3
06/08/2019,23,V ugm-3,56,V ugm-3
07/08/2019,17,V ugm-3,61,V ugm-3
08/08/2019,21,V ugm-3,70,V ugm-3
09/08/2019,25,V ugm-3,50,V ugm-3
10/08/2019,15,V ugm-3,35,V ugm-3
11/08/2019,15,V ugm-3,42,V ugm-3
12/08/2019,28,V ugm-3,46,V ugm-3
13/08/2019,26,V ugm-3,53,V ugm-3
14/08/2019,24,V ugm-3,58,V ugm-3
15/08/2019,17,V ugm-3,42,V ugm-3
16/08/2019,28,V ugm-3,53,V ugm-3
17/08/2019,17,V ugm-3,45,V ugm-3
18/08/2019,13,V ugm-3,50,V ugm-3
19/08/2019,20,V ugm-3,60,V ugm-3
20/08/2019,23,V ugm-3,63,V ugm-3
21/08/2019,34,V ugm-3,66,V ugm-3
22/08/2019,22,V ugm-3,73,V ugm-3
23/08/2019,30,V ugm-3,70,V ugm-3
24/08/2019,39,V ugm-3,79,V ugm-3
25/08/2019,37,V ugm-3,87,V ugm-3
26/08/2019,30,V ugm-3,95,V ugm-3
27/08/2019,32,V ugm-3,NaN,V ugm-3
28/08/2019,31,V ugm-3,NaN,V ugm-3
29/08/2019,32,V ugm-3,NaN,V ugm-3
30/08/2019,30,V ugm-3,NaN,V ugm-3
31/08/2019,22,V ugm-3,60,V ugm-3
01/09/2019,20,V ugm-3,35,V ugm-3
02/09/2019,23,V ugm-3,70,V ugm-3
03/09/2019,27,V ugm-3,67,V ugm-3
04/09/2019,16,V ugm-3,47,V ugm-3
05/09/2019,33,V ugm-3,36,V ugm-3
06/09/2019,25,V ugm-3,67,V ugm-3
07/09/2019,41,V ugm-3,23,V ugm-3
08/09/2019,35,V ugm-3,33,V ugm-3
09/09/2019,31,V ugm-3,67,V ugm-3
10/09/2019,30,V ugm-3,57,V ugm-3
11/09/2019,20,V ugm-3,59,V ugm-3
12/09/2019,19,V ugm-3,62,V ugm-3
13/09/2019,60,V ugm-3,39,V ugm-3
14/09/2019,45,V ugm-3,72,V ugm-3
15/09/2019,20,V ugm-3,52,V ugm-3
16/09/2019,30,V ugm-3,38,V ugm-3
17/09/2019,55,V ugm-3,29,V ugm-3
18/09/2019,60,V ugm-3,50,V ugm-3
19/09/2019,53,V ugm-3,68,V ugm-3
20/09/2019,41,V ugm-3,82,V ugm-3
21/09/2019,33,V ugm-3,80,V ugm-3
22/09/2019,32,V ugm-3,65,V ugm-3
23/09/2019,24,V ugm-3,65,V ugm-3
24/09/2019,27,V ugm-3,67,V ugm-3
25/09/2019,20,V ugm-3,64,V ugm-3
26/09/2019,23,V ugm-3,72,V ugm-3
27/09/2019,24,V ugm-3,67,V ugm-3
28/09/2019,19,V ugm-3,57,V ugm-3
29/09/2019,16,V ugm-3,38,V ugm-3
30/09/2019,37,V ugm-3,69,V ugm-3
01/10/2019,36,V ugm-3,56,V ugm-3
02/10/2019,46,V ugm-3,37,V ugm-3
03/10/2019,35,V ugm-3,84,V ugm-3
04/10/2019,35,V ugm-3,70,V ugm-3
05/10/2019,33,V ugm-3,50,V ugm-3
06/10/2019,19,V ugm-3,28,V ugm-3
07/10/2019,35,V ugm-3,66,V ugm-3
